StateAbbr,StateDesc,CityName,UniqueID,PopulationCount,GeoLocation,CityFIPS
FL,Florida,St. Petersburg,1263000,"244,769","(27.792894971, -82.6650743239)",1263000
FL,Florida,Sunrise,1269700,"84,439","(26.1546878303, -80.299841102)",1269700
FL,Florida,Tallahassee,1270600,"181,376","(30.4548951211, -84.2526459938)",1270600
FL,Florida,Tampa,1271000,"335,709","(27.996198041, -82.4450349799)",1271000
FL,Florida,West Palm Beach,1276600,"99,919","(26.7478714655, -80.1337397544)",1276600
GA,Georgia,Albany,1301052,"77,434","(31.5776036766, -84.1763240815)",1301052
GA,Georgia,Athens,1303440,"115,452","(33.9508170683, -83.3689417445)",1303440
GA,Georgia,Atlanta,1304000,"420,003","(33.7626524683, -84.4231419055)",1304000
GA,Georgia,Augusta,1304204,"195,844","(33.3644561527, -82.0708396775)",1304204
GA,Georgia,Columbus,1319000,"189,885","(32.5099614852, -84.8770410586)",1319000
GA,Georgia,Johns Creek,1342425,"76,728","(34.0332991998, -84.2027195506)",1342425
GA,Georgia,Macon,1349000,"91,351","(32.8320417692, -83.6495823768)",1349000
GA,Georgia,Roswell,1367284,"88,346","(34.0391384583, -84.3512225277)",1367284
GA,Georgia,Sandy Springs,1368516,"93,853","(33.9366669867, -84.3703197084)",1368516
GA,Georgia,Savannah,1369000,"136,286","(32.0283615157, -81.1783435493)",1369000
GA,Georgia,Warner Robins,1380508,"66,588","(32.5985113609, -83.6530271267)",1380508
HI,Hawaii,Honolulu,15003,"953,207","(21.4588039305, -157.973296737)",15003
ID,Idaho,Boise City,1608830,"205,671","(43.5984343897, -116.230885189)",1608830
ID,Idaho,Meridian,1652120,"75,092","(43.6185195383, -116.39758487)",1652120
ID,Idaho,Nampa,1656260,"81,557","(43.5829315681, -116.564145085)",1656260
IL,Illinois,Arlington Heights,1702154,"75,101","(42.095623342, -87.9825627457)",1702154
IL,Illinois,Aurora,1703012,"197,899","(41.7637750837, -88.2900949057)",1703012
IL,Illinois,Bloomington,1706613,"76,610","(40.4756778366, -88.9700813515)",1706613
IL,Illinois,Bolingbrook,1707133,"73,366","(41.6911653908, -88.1011218035)",1707133
IL,Illinois,Champaign,1712385,"81,055","(40.1151051361, -88.2729845986)",1712385
IL,Illinois,Chicago,1714000,"2,695,598","(41.8372950615, -87.6862308732)",1714000
IL,Illinois,Cicero,1714351,"83,891","(41.844539143, -87.7592873023)",1714351
IL,Illinois,Decatur,1718823,"76,122","(39.8555822645, -88.9336983421)",1718823
IL,Illinois,Elgin,1723074,"108,188","(42.0385402472, -88.3224947104)",1723074
IL,Illinois,Evanston,1724582,"74,486","(42.0463099649, -87.6940348773)",1724582
IL,Illinois,Joliet,1738570,"147,433","(41.5206390037, -88.1507097756)",1738570
IL,Illinois,Naperville,1751622,"141,853","(41.7482001145, -88.1657705099)",1751622
IL,Illinois,Palatine,1757225,"68,557","(42.1180663695, -88.042989882)",1757225
IL,Illinois,Peoria,1759000,"115,007","(40.7515684146, -89.615255458)",1759000
IL,Illinois,Rockford,1765000,"152,871","(42.2633180015, -89.0625958362)",1765000
IL,Illinois,Schaumburg,1768003,"74,227","(42.0305488755, -88.0838663543)",1768003
IL,Illinois,Springfield,1772000,"116,250","(39.7716473322, -89.6540780049)",1772000
IL,Illinois,Waukegan,1779293,"89,078","(42.3702955582, -87.8712595095)",1779293
IN,Indiana,Bloomington,1805860,"80,405","(39.1637458221, -86.5257124351)",1805860
IN,Indiana,Carmel,1810342,"79,191","(39.9658404613, -86.1461278461)",1810342
IN,Indiana,Evansville,1822000,"117,429","(37.9867158026, -87.538270731)",1822000
IN,Indiana,Fishers,1823278,"76,794","(39.9587635263, -85.969310702)",1823278
IN,Indiana,Fort Wayne,1825000,"253,691","(41.0884920417, -85.1435898792)",1825000
IN,Indiana,Gary,1827000,"80,294","(41.5904779239, -87.3472907397)",1827000
IN,Indiana,Hammond,1831000,"80,830","(41.6171442828, -87.4909551115)",1831000
IN,Indiana,Indianapolis,1836003,"820,445","(39.7771221075, -86.145782152)",1836003
IN,Indiana,Lafayette,1840788,"67,140","(40.3994285285, -86.8617007404)",1840788
IN,Indiana,Muncie,1851876,"70,085","(40.1987098324, -85.3942940148)",1851876
IN,Indiana,South Bend,1871000,"101,168","(41.6769914549, -86.2690372417)",1871000
IA,Iowa,Cedar Rapids,1912000,"126,326","(41.966729258, -91.6781679349)",1912000
IA,Iowa,Davenport,1919000,"99,685","(41.5557926876, -90.6051730163)",1919000
IA,Iowa,Des Moines,1921000,"203,433","(41.5741349525, -93.6165066086)",1921000
IA,Iowa,Iowa City,1938595,"67,862","(41.6558950332, -91.5308854927)",1938595
IA,Iowa,Sioux City,1973335,"82,684","(42.4963149039, -96.3913834837)",1973335
IA,Iowa,Waterloo,1982425,"68,406","(42.4919736932, -92.3521759342)",1982425
KS,Kansas,Kansas City,2036000,"145,786","(39.1234621409, -94.7441921112)",2036000
KS,Kansas,Lawrence,2038900,"87,643","(38.9599302924, -95.2628259088)",2038900
KS,Kansas,Olathe,2052575,"125,872","(38.884693021, -94.8192070197)",2052575
KS,Kansas,Overland Park,2053775,"173,372","(38.8872922575, -94.6872267067)",2053775
KS,Kansas,Topeka,2071000,"127,473","(39.0359549911, -95.6954155341)",2071000
KS,Kansas,Wichita,2079000,"382,368","(37.690561478, -97.3429366807)",2079000
KY,Kentucky,Lexington,2146027,"295,803","(38.0423254022, -84.4587259608)",2146027
KY,Kentucky,Louisville,2148006,"597,337","(38.1777689918, -85.6664099974)",2148006
LA,Louisiana,Baton Rouge,2205000,"229,493","(30.4510891679, -91.1263551997)",2205000
LA,Louisiana,Kenner,2239475,"66,702","(30.0106937201, -90.2550320135)",2239475
LA,Louisiana,Lafayette,2240735,"120,623","(30.2120582815, -92.0317532321)",2240735
LA,Louisiana,Lake Charles,2241155,"71,993","(30.2030679966, -93.2148796496)",2241155
LA,Louisiana,New Orleans,2255000,"343,829","(30.0687009935, -89.9316317895)",2255000
LA,Louisiana,Shreveport,2270000,"199,311","(32.4671618864, -93.7962236108)",2270000
ME,Maine,Portland,2360545,"66,194","(43.6779836271, -70.2752544531)",2360545
MD,Maryland,Baltimore,2404000,"620,961","(39.3084523991, -76.6160492311)",2404000
MA,Massachusetts,Boston,2507000,"617,594","(42.3155796777, -71.0916505804)",2507000
MA,Massachusetts,Brockton,2509000,"93,810","(42.082071372, -71.0241656338)",2509000
MA,Massachusetts,Cambridge,2511000,"105,162","(42.3758188051, -71.1183992378)",2511000
MA,Massachusetts,Fall River,2523000,"88,857","(41.7139907598, -71.0996396919)",2523000
MA,Massachusetts,Lawrence,2534550,"76,377","(42.7002772201, -71.1626790341)",2534550
MA,Massachusetts,Lowell,2537000,"106,519","(42.6388727331, -71.321714396)",2537000
MA,Massachusetts,Lynn,2537490,"90,329","(42.4783322881, -70.9662372538)",2537490
MA,Massachusetts,New Bedford,2545000,"95,072","(41.6712667258, -70.9441204537)",2545000
MA,Massachusetts,Newton,2545560,"85,146","(42.3316567616, -71.2084466944)",2545560
MA,Massachusetts,Quincy,2555745,"92,271","(42.2492981918, -71.0218764062)",2555745
MA,Massachusetts,Somerville,2562535,"75,754","(42.3905738858, -71.1017450879)",2562535
MA,Massachusetts,Springfield,2567000,"153,060","(42.1154977999, -72.5395254143)",2567000
MA,Massachusetts,Worcester,2582000,"181,045","(42.2705425446, -71.8079404584)",2582000
MI,Michigan,Ann Arbor,2603000,"113,934","(42.2756833567, -83.7311374448)",2603000
MI,Michigan,Dearborn,2621000,"98,153","(42.3126884626, -83.2129368006)",2621000
MI,Michigan,Detroit,2622000,"713,777","(42.3847015631, -83.1053178776)",2622000
MI,Michigan,Farmington Hills,2627440,"79,740","(42.4859956992, -83.3771159714)",2627440
MI,Michigan,Flint,2629000,"102,434","(43.0236339386, -83.6920640313)",2629000
MI,Michigan,Grand Rapids,2634000,"188,040","(42.9614815414, -85.6556858473)",2634000
MI,Michigan,Kalamazoo,2642160,"74,262","(42.2748756474, -85.588188576)",2642160
MI,Michigan,Lansing,2646000,"114,297","(42.7090711751, -84.5584470022)",2646000
MI,Michigan,Livonia,2649000,"96,942","(42.3971592737, -83.3733073683)",2649000
MI,Michigan,Rochester Hills,2669035,"70,995","(42.6645256768, -83.1563037157)",2669035
MI,Michigan,Southfield,2674900,"71,739","(42.4765016267, -83.2605284738)",2674900
MI,Michigan,Sterling Heights,2676460,"129,699","(42.580985283, -83.0303680858)",2676460
MI,Michigan,Troy,2680700,"80,980","(42.5817340358, -83.1457545154)",2680700
MI,Michigan,Warren,2684000,"134,056","(42.4934233034, -83.0270075248)",2684000
MI,Michigan,Westland,2686000,"84,094","(42.3192220455, -83.3805461719)",2686000
MI,Michigan,Wyoming,2688940,"72,125","(42.8909745661, -85.7067229249)",2688940
MN,Minnesota,Bloomington,2706616,"82,893","(44.8305852429, -93.3150995817)",2706616
MN,Minnesota,Brooklyn Park,2707966,"75,781","(45.1112033916, -93.3505067942)",2707966
MN,Minnesota,Duluth,2717000,"86,265","(46.7854703427, -92.1342013763)",2717000
MN,Minnesota,Minneapolis,2743000,"382,578","(44.9635407967, -93.2678345304)",2743000
MN,Minnesota,Plymouth,2751730,"70,576","(45.022462874, -93.4616016242)",2751730
MN,Minnesota,Rochester,2754880,"106,769","(44.0150574384, -92.4775005494)",2754880
MN,Minnesota,St. Paul,2758000,"285,068","(44.9477402558, -93.1039958305)",2758000
MS,Mississippi,Gulfport,2829700,"67,793","(30.427377008, -89.0701908439)",2829700
MS,Mississippi,Jackson,2836000,"173,514","(32.31627222, -90.2124528561)",2836000
MO,Missouri,Columbia,2915670,"108,500","(38.9481109651, -92.3260129764)",2915670
MO,Missouri,Independence,2935000,"116,830","(39.0870794771, -94.3502748237)",2935000
MO,Missouri,Kansas City,2938000,"459,787","(39.1239413971, -94.5541236795)",2938000
MO,Missouri,Lee's Summit,2941348,"91,364","(38.9170508128, -94.3814865856)",2941348
MO,Missouri,O'Fallon,2954074,"79,329","(38.7852244161, -90.7176856736)",2954074
MO,Missouri,St. Joseph,2964550,"76,780","(39.7598312179, -94.8209246813)",2964550
MO,Missouri,St. Louis,2965000,"319,294","(38.6358122615, -90.2451186799)",2965000
MO,Missouri,Springfield,2970000,"159,498","(37.1942661484, -93.2914273656)",2970000
MT,Montana,Billings,3006550,"104,170","(45.7893102609, -108.54882784)",3006550
MT,Montana,Missoula,3050200,"66,788","(46.8694402455, -114.009863843)",3050200
NE,Nebraska,Lincoln,3128000,"258,379","(40.8096195695, -96.6806742049)",3128000
NE,Nebraska,Omaha,3137000,"408,958","(41.2642309111, -96.0415076441)",3137000
NV,Nevada,Henderson,3231900,"257,729","(36.0122394916, -115.037392161)",3231900
NV,Nevada,Las Vegas,3240000,"583,756","(36.2274148438, -115.262670095)",3240000
NV,Nevada,North Las Vegas,3251800,"216,961","(36.2891993562, -115.088496088)",3251800
NV,Nevada,Reno,3260600,"225,221","(39.5540171998, -119.852733516)",3260600
NV,Nevada,Sparks,3268400,"90,264","(39.573373276, -119.713134168)",3268400
NH,New Hampshire,Manchester,3345140,"109,565","(42.9844541713, -71.4445313287)",3345140
NH,New Hampshire,Nashua,3350260,"86,494","(42.7491554459, -71.4909587631)",3350260
NJ,New Jersey,Camden,3410000,"77,344","(39.9361910066, -75.1072961899)",3410000
NJ,New Jersey,Clifton,3413690,"84,136","(40.8631217425, -74.1575145342)",3413690
NJ,New Jersey,Elizabeth,3421000,"124,969","(40.6664447729, -74.1938679138)",3421000
NJ,New Jersey,Jersey City,3436000,"247,597","(40.7188130852, -74.0687740635)",3436000
NJ,New Jersey,Newark,3451000,"277,140","(40.7260693449, -74.1752997118)",3451000
NJ,New Jersey,Passaic,3456550,"69,781","(40.8574581109, -74.1281123174)",3456550
NJ,New Jersey,Paterson,3457000,"146,199","(40.9146874977, -74.1624181271)",3457000
NJ,New Jersey,Trenton,3474000,"84,913","(40.2237289981, -74.7639943311)",3474000
